procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 391016576      0 421904    0    0     0     0 48105 240240  5  5 90  0  0
 7  0      0 391016448      0 421944    0    0     0   516 43865 235168  5  5 90  0  0
 7  0      0 391016544      0 421976    0    0     0     0 45013 236477  5  5 90  0  0
 6  0      0 391018368      0 422112    0    0     0   848 46531 239662  5  5 90  0  0
 8  0      0 391017248      0 422080    0    0     0    40 45185 234124  5  5 90  0  0
 8  0      0 391018176      0 422112    0    0     0     8 40248 232364  5  5 90  0  0
 1  0      0 391013728      0 422464    0    0    96     0 37296 183640  5  4 91  0  0
 0  0      0 391215616      0 422344    0    0    40    12  499  544  0  0 100  0  0
 0  0      0 391219648      0 422424    0    0     0     0  242  313  0  0 100  0  0
 0  0      0 391220512      0 422428    0    0     0     4  201  248  0  0 100  0  0
 0  0      0 391220512      0 422440    0    0     0    44  195  228  0  0 100  0  0
 0  0      0 391220864      0 422444    0    0     0   116  281  401  0  0 100  0  0
 0  0      0 391221120      0 422452    0    0     0    24  196  250  0  0 100  0  0
 0  0      0 391221632      0 422456    0    0     0     0  188  234  0  0 100  0  0
 0  0      0 391221632      0 422468    0    0     0     0  178  214  0  0 100  0  0
 0  0      0 391221952      0 422412    0    0     0     4  268  369  0  0 100  0  0
 0  0      0 391221728      0 422484    0    0     0    40  435  347  0  0 100  0  0
 0  0      0 391221728      0 422496    0    0     0     4  190  226  0  0 100  0  0
 0  0      0 391221952      0 422500    0    0     0     0  179  218  0  0 100  0  0
 0  0      0 391222016      0 422508    0    0     0    12  247  370  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 391222016      0 422516    0    0     0     0  172  214  0  0 100  0  0
 0  0      0 391222752      0 422524    0    0     0    80  175  239  0  0 100  0  0
 0  0      0 391222752      0 422528    0    0     0    40  165  214  0  0 100  0  0
 0  0      0 391222912      0 422540    0    0     0     4  277  368  0  0 100  0  0
 0  0      0 391222912      0 422552    0    0     0    12  197  226  0  0 100  0  0
 0  0      0 391223072      0 422556    0    0     0    12  209  232  0  0 100  0  0
 0  0      0 391222816      0 422564    0    0     0     0  407  303  0  0 100  0  0
 0  0      0 391223360      0 422572    0    0     0     8  256  364  0  0 100  0  0
 0  0      0 391223360      0 422580    0    0     0    44  201  227  0  0 100  0  0
 0  0      0 391222624      0 422792    0    0   244     4  314  311  0  0 100  0  0
 0  0      0 391223072      0 422872    0    0     0    12  160  218  0  0 100  0  0
 0  0      0 391224672      0 422880    0    0     0    72  232  356  0  0 100  0  0
 0  0      0 391224672      0 422884    0    0     0     0  153  208  0  0 100  0  0
 0  0      0 391224704      0 422896    0    0     0     4  197  240  0  0 100  0  0
 0  0      0 391224928      0 422900    0    0     0   136  213  249  0  0 100  0  0
 0  0      0 391224928      0 422908    0    0     0     4  229  348  0  0 100  0  0
 0  0      0 391224192      0 422988    0    0     0    12  499  392  0  0 100  0  0
 0  0      0 391224416      0 422996    0    0     0     0  155  216  0  0 100  0  0
 1  0      0 391174528      0 423000    0    0    72     0 3016 4018  3  0 97  0  0
 3  0      0 391122144      0 423144    0    0   112   456 3394 3856  3  0 97  0  0
 0  0      0 391073248      0 423284    0    0     0    44 1915 1302  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 391064928      0 423392    0    0     0   216 10700 43064  3  1 96  0  0
11  0      0 391062304      0 423404    0    0     0    24 52990 205985  7  4 88  0  0
11  0      0 391061312      0 423436    0    0     0     8 56827 236746  7  5 88  0  0
 8  0      0 391060128      0 423468    0    0     0     0 53080 236773  7  5 88  0  0
 7  0      0 391057728      0 423500    0    0     0     4 46658 236913  6  5 89  0  0
 9  0      0 391056768      0 423608    0    0     0    40 49548 233460  6  5 89  0  0
 6  0      0 391050784      0 423676    0    0     0    12 48092 234602  6  5 90  0  0
 8  0      0 391048832      0 423708    0    0     0     0 45628 238989  5  5 90  0  0
 5  0      0 391049280      0 423748    0    0     0    12 45790 240685  5  5 90  0  0
 6  0      0 391047168      0 423780    0    0     0     0 42645 235593  5  5 90  0  0
 6  0      0 391047040      0 423816    0    0     0    76 46926 231161  5  5 90  0  0
 7  0      0 391050560      0 423784    0    0     0    40 44573 231797  5  5 91  0  0
 8  0      0 391051456      0 423820    0    0     0     4 48039 237149  5  5 90  0  0
 9  0      0 391052352      0 423820    0    0     0    24 49820 239598  5  5 90  0  0
 7  0      0 391052288      0 423796    0    0     0     0 45999 240795  5  5 90  0  0
 6  0      0 391053472      0 424344    0    0     0     0 47309 243343  5  5 90  0  0
 8  0      0 391050976      0 424376    0    0     0     4 45622 241626  5  5 90  0  0
 9  0      0 391049536      0 424408    0    0     0    44 45980 241863  5  5 90  0  0
 3  0      0 391047744      0 424412    0    0     0     4 44205 230643  5  5 90  0  0
 7  0      0 391045344      0 424448    0    0     0     0 45379 240691  5  5 90  0  0
 8  0      0 391044512      0 424480    0    0     0   536 45852 239616  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 391044256      0 424584    0    0     0     0 49930 235998  5  5 90  0  0
 7  0      0 391046432      0 424612    0    0     0     4 48400 231785  5  5 90  0  0
 7  0      0 391047392      0 424636    0    0     0    40 47313 234762  5  5 90  0  0
 6  0      0 391046528      0 424664    0    0     0     4 50765 228295  5  5 90  0  0
 9  0      0 391045088      0 424688    0    0     0     0 48793 231620  5  5 90  0  0
 9  0      0 391037504      0 424716    0    0     0    12 46611 242814  5  5 90  0  0
 6  0      0 391034752      0 424744    0    0     0     0 47528 242537  5  5 90  0  0
 7  0      0 391029280      0 424672    0    0     0     8 45395 227533  5  5 90  0  0
 7  0      0 391026976      0 424692    0    0    16   976 43964 228722  5  5 90  0  0
 8  0      0 391024128      0 424724    0    0     0   240 43591 226740  5  5 90  0  0
 5  0      0 391023328      0 424752    0    0     0    56 45316 232849  5  5 90  0  0
 6  0      0 391026496      0 424960    0    0     0     0 47134 230812  5  5 90  0  0
 7  0      0 391023040      0 424996    0    0     0     0 46970 234812  5  5 90  0  0
 5  0      0 391021600      0 425068    0    0     0   108 47802 240291  5  5 90  0  0
 6  0      0 391020608      0 425104    0    0     0    44 42448 225194  5  4 91  0  0
 1  0      0 391009280      0 425524    0    0    60     4 36181 176394  5  4 92  0  0
 0  0      0 391003808      0 425372    0    0     0    12  779  737  0  0 99  0  0
 0  0      0 391172736      0 425248    0    0     0     0  440  573  0  0 100  0  0
 0  0      0 391169120      0 425252    0    0     0     0  520  495  0  0 100  0  0
 0  0      0 391168864      0 425300    0    0    36     4  606  524  0  0 100  0  0
